Statistic, Task, 0 min, 10 min, 20 min, 30 min, 40 min, 50 min, 60 min, 70 min, 80 min, 90 min, 100 min, 110 min, Sum
Utilization, 0, 0.027656, 0.0157314, 0.00489483, 0.0636677, 0.00242996, 0.00513039, 0.00961151, 0.00655136, 0.0154366, 0.0591286, 0.0556458, 0.00214081, 0.268025
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0.133991, 0.303865, 0.122296, 0.0782532, 0.302954, 0, 0, 0.117806, 0, 0.338385, 0, 0, 1.39755
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0.0405111, 0, 0, 0, 0, 0, 0, 0, 0, 0.0405111
, 5, 0, 0, 0.0218977, 0, 0, 0.0262711, 0, 0, 0.0434303, 0, 0.0575279, 0, 0.149127
, 6, 0, 0.0024106, 0.00118561, 0, 0.0192936, 0, 0.00105286, 0.0387695, 0.00200806, 0, 0, 0, 0.0647202
, 7, 0, 0.0101506, 0, 0.00654221, 0.0207066, 0, 0.00105057, 0.00365601, 0.0275238, 0.000359344, 0, 0.016674, 0.0866631
, 8, 0.00832233, 0, 0.00575104, 0, 0.00458908, 0, 0, 0.0408226, 0, 0, 0, 0, 0.0594851
, Sum, 0.16997, 0.332157, 0.156025, 0.188974, 0.349974, 0.0314014, 0.0117149, 0.207606, 0.0883987, 0.397873, 0.113174, 0.0188149, 2.06608
Service Time, 0, 0.27656, 0.157314, 0.0489483, 0.636677, 0.0242996, 0.0513039, 0.0961151, 0.0655136, 0.154366, 0.591286, 0.556458, 0.0214081, 2.68025
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 1.33991, 3.03865, 1.22296, 0.782532, 3.02954, 0, 0, 1.17806, 0, 3.38385, 0, 0, 13.9755
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0.405111, 0, 0, 0, 0, 0, 0, 0, 0, 0.405111
, 5, 0, 0, 0.218977, 0, 0, 0.262711, 0, 0, 0.434303, 0, 0.575279, 0, 1.49127
